HS_CODE,COMMODITY_DESC,GEOGRAPHY_CODE,GEOGRAPHY_DESC,ATTRIBUTE_DESC,ATTRIBUTE_UNIT,YEAR_ID,TIMEPERIOD_ID,AMOUNT
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,1,16068
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,2,17728
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,3,16594
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,4,13084
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,5,39165
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,6,13615
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,7,30223
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,8,11206
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,9,18904
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,10,18284
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,11,16818
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2015,12,11638
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2016,1,17835
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2016,2,15425
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2016,3,17711
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,QTY,2016,4,19306
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,1,86566
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,2,89468
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,3,86535
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,4,69386
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,5,198586
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,6,69030
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,7,158126
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,8,56816
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,9,95856
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,10,97437
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,11,85281
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2015,12,59013
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2016,1,93888
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2016,2,78215
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2016,3,90823
302110010,RAINBOW TROUT FARMED FRESH/CHILLED EXC FLT/LVR/ROE,1,,US Export,VLU,2016,4,103595
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,1,1117
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,2,1646
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,3,3448
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,4,8705
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,5,12146
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,6,6979
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,7,11113
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,8,8368
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,9,8716
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,10,4787
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,11,8043
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2015,12,5365
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2016,1,3231
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2016,2,16196
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2016,3,1627
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,QTY,2016,4,4064
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,1,5513
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,2,9847
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,3,26895
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,4,60366
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,5,74412
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,6,38999
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,7,69528
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,8,51842
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,9,36602
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,10,25720
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,11,47021
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2015,12,39257
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2016,1,23399
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2016,2,79676
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2016,3,12650
302110090,TROUT FRESH OR CHILLED EXCEPT FARMED RAINBOW TROUT,1,,US Export,VLU,2016,4,22964
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,1,31007
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,2,40169
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,3,38920
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,4,67802
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,5,48340
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,6,49052
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,7,47514
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,8,72481
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,9,76945
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,10,121760
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,11,48064
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2015,12,33699
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2016,1,28346
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2016,2,35341
302190000,"SALMONIDAE, NESOI, FRESH OR CHILLED",1,,US Export,QTY,2016,3,47253
